location_street_address,location_specifier,location_postcode,area_living,floor_number
Hietalahdenkatu 6,B 26,00180,21.00,4
Limonadikuja 3,B 21,00390,74.00,2
Raitamaantie 11,J,00420,105.00,1
Vanha Myllypolku 4,A 3,01360,91.50,1
Wallininkuja 2,C 47,00530,25.50,5
Piilipuuntie 31,A 17,02250,45.50,3
Keskiyöntie 13,as. D,02210,81.00,1
Kivisaarentie 12,B 12,00960,23.50,1
Pietarinkatu 15,B 47,00140,24.00,1
Rantakiventie 20,B 6,00960,134.00,1
Laivanvarustajankatu 9,A 2,00140,42.60,1
Reginankuja 4,A 7,00810,76.00,2
Riistatie 3,F 6,02940,91.00,1
Metsolantie 6,A 13,01450,74.50,4
Perilänniitty 2,B 81,02600,49.50,8
Kaarenjalka 5a,A 48,00940,68.00,7
Juhana-herttuan tie 12,I 105,00600,74.10,5
Kotikonnuntie 9,C 51,00940,72.50,3
Kaivosrinteentie 6,D 32,01610,39.00,3
Saariselänkuja 4,A 5,00970,34.00,2
Riihitie 23,B 11,00330,65.00,1
Ouluntie 3,A 2,00550,65.00,1
Asiakkaankatu 1,B 39,00930,59.50,6
Kuhatie 10,B 12,02170,52.00,1
Rautkalliontie 7,C 16,01360,61.00,1
Lammaslammentie 17,F 45,01710,69.00,2
Iiluodontie 9,A 46,00990,34.00,8
Torkkelinkuja 24,A 9,00500,46.00,2
Wavulinintie 5,B 33,00210,71.00,3
Kehävuorenkuja 1,C 9,01690,40.50,1
Hanuripolku 6,A 102,00420,71.50,4
Pohjoiskaari 17,C 12,00200,87.50,1
Säveltie 7,E 39,00720,77.00,2
Ailakkitie 6,H,01350,89.00,1
Kristianinkatu 7,A 4b,00170,26.00,2
Matinpuronkuja 2,G 55,02230,44.00,5
Kapteeninkatu 26,D 76,00140,39.00,3
Hiihtomäentie 40,A 2,00800,38.00,1
Nuijatie 4,B 13,01650,59.00,2
Jousenpuistonkatu 1,A 40,02200,75.00,7
Tankomäenkatu 10,A 6,00950,29.50,2
Liukulaakerinkuja 4,B 32,00520,80.00,2
Mariankatu 26,B 6,00170,142.00,2
Mäkelänkatu 20,A 9,00510,55.00,4
Pienen Villasaaren tie 1-3,B 15,00960,51.00,3
Kolsarintie 4,C 52,00390,44.00,1
Pietarinkatu 19,A 2a,00140,63.50,1
Iiluodontie 3,A 17,00990,58.00,4
Lönnrotinkatu 45,A 15,00180,95.80,4
Liuskekuja 4,D 38,00710,41.00,1
Nousiaistentie 2,A 8,00280,23.20,2
Mannerheimintie 93,J 244,00270,52.00,1
Kenttätie 10,E 44,00720,30.00,3
Hietaniemenkatu 12,A 3,00100,44.60,1
Pehtoorintie 1,C 33,01510,76.00,2
Joupintie 6,A 22,02760,38.50,4
Wallininkuja 4,A 18,00530,34.00,4
Topeliuksenkatu 3b,D 42,00260,63.50,2
Hauenkalliontie 2,A 20,02170,63.70,5
Salakkakuja 8,B 21,02170,64.50,3
Topeliuksenkatu 3b,D 38,00260,35.00,1
Porvoonkatu 16,B 57,00510,36.00,4
Arkadiankatu 15,B 11,00100,109.00,5
